RuleName,ResourceName,Severity,CommonName,Description
AlignAssignmentStatement,AlignAssignmentStatement,Warning,Align assignment statement,Line up assignment statements such that the assignment operator are aligned.
AvoidAssignmentToAutomaticVariable,AvoidAssignmentToReadOnlyAutomaticVariable,Warning,Changing automtic variables might have undesired side effects,This automatic variables is built into PowerShell and readonly.
AvoidBacktickContinuation,AvoidBacktickContinuation,Warning,Avoid Backtick Continuation,"Avoid using backtick line continuations. Backtick continuations are fragile (trailing whitespace breaks them) and hard to read. Prefer splatting, pipeline operators, or parenthesized expressions instead."
AvoidCommandInjection,AvoidCommandInjection,Warning,Avoid Command Injection,"Avoid passing expandable strings (containing variable interpolation) as command arguments to shell processes like cmd, powershell, pwsh, bash, or sh. Variable values can be manipulated to inject arbitrary commands."
AvoidUsingComputerNameHardcoded,AvoidComputerNameHardcoded,Warning,Avoid Using ComputerName Hardcoded,The ComputerName parameter of a cmdlet should not be hardcoded as this will expose sensitive information about the system.
AvoidDangerousMethod,AvoidDangerousMethod,Warning,Avoid Dangerous Method Call,"Avoid calling methods that execute arbitrary code from string input, such as InvokeScript, AddScript, NewScriptBlock, ExpandString, CreateNestedPipeline, and ScriptBlock.Create. These methods can enable code injection if the input is not fully trusted."
AvoidDefaultValueForMandatoryParameter,AvoidDefaultValueForMandatoryParameter,Warning,Avoid Default Value For Mandatory Parameter,"Mandatory parameter should not be initialized with a default value in the param block because this value will be ignored.. To fix a violation of this rule, please avoid initializing a value for the mandatory parameter in the param block."
AvoidDefaultTrueValueSwitchParameter,AvoidDefaultValueSwitchParameter,Warning,Switch Parameters Should Not Default To True,Switch parameter should not default to true.
AvoidDynamicMemberAccess,AvoidDynamicMemberAccess,Warning,Avoid Dynamic Member Access,Avoid accessing properties or invoking methods using a non-constant member name (e.g. $obj.$prop or $obj.$method()). Dynamic member access can be exploited for property or method injection if the member name comes from untrusted input.
AvoidUsingEmptyCatchBlock,AvoidEmptyNamedBlocks,Warning,Avoid Empty Named Blocks,"Avoid empty begin, process, end, or dynamicparam blocks in functions. Empty named blocks add noise and may indicate incomplete implementations."
AvoidEmptyNamedBlocks,AvoidExclaimOperator,Warning,Avoid exclaim operator,The negation operator ! should not be used for readability purposes. Use -not instead.
AvoidExclaimOperator,AvoidFilterKeyword,Warning,Avoid Filter Keyword,"Avoid the filter keyword. Use a function with an explicit process block instead, which is clearer and more consistent with standard PowerShell patterns."
AvoidFilterKeyword,AvoidForeachObjectInjection,Warning,Avoid ForEach-Object Injection,Avoid using ForEach-Object -MemberName with a non-constant argument. A variable member name can be manipulated to invoke arbitrary methods on pipeline objects.
AvoidForeachObjectInjection,AvoidGlobalAliases,Warning,Avoid global aliases.,Checks that global aliases are not used. Global aliases are strongly discouraged as they overwrite desired aliases with name conflicts.
AvoidGlobalAliases,AvoidGlobalFunctions,Warning,Avoid global functiosn and aliases,Checks that global functions and aliases are not used. Global functions are strongly discouraged as they can cause errors across different systems.
AvoidGlobalFunctions,AvoidGlobalVars,Warning,No Global Variables,Checks that global variables are not used. Global variables are strongly discouraged as they can cause errors across different systems.
AvoidGlobalVars,AvoidInvokingEmptyMembers,Warning,Avoid Invoking Empty Members,Invoking non-constant members would cause potential bugs. Please double check the syntax to make sure members invoked are non-constant.
AvoidInvokingEmptyMembers,AvoidLongLines,Warning,Avoid long lines,Line lengths should be less than the configured maximum
AvoidLongLines,AvoidMultipleTypeAttributes,Warning,Avoid multiple type specifiers on parameters,Parameter should not have more than one type specifier.
